time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate
133,78.72,36864,0.8790999999999997,275,72,-1.092343521863222,0.04492358971619979,0.1572265625,-0.050167016685009,-0.035482845501974225,710,0.33180153369903564,0.2,0.017200967,0.0003
135,77.51,37376,0.7966999999999997,275,73,-1.0604945681989193,0.05824865663889796,0.141015625,-0.05684177577495575,-0.03300458807498217,720,0.08657371997833252,0.2,0.013557954,0.0003
137,77.84,37888,0.8663999999999997,275,74,-1.0313706018030644,0.028411822294583545,0.1560546875,-0.0427352711558342,-0.03805476946290583,730,0.7785706520080566,0.2,0.0179775,0.0003
139,78.85,38400,0.7690999999999998,275,75,-0.9533763885498047,0.02757803046843037,0.1744140625,-0.042128320783376694,-0.042523655446711925,740,0.1966680884361267,0.2,0.020525906,0.0003
141,80.2,38912,0.8430999999999996,275,76,-1.0657438598573208,0.032651480188360435,0.180859375,-0.06556890904903412,-0.03809067294932902,750,0.4715292453765869,0.2,0.017773334,0.0003
143,81.26,39424,0.7722999999999998,275,77,-0.9861282892525196,0.02813872219994664,0.158203125,-0.048798393458127975,-0.03955800615949556,760,0.017213940620422363,0.2,0.021092923,0.0003
145,83.2,39936,0.7605999999999998,275,78,-0.997509254515171,0.03149628756800667,0.1744140625,-0.03812671825289726,-0.0408063703100197,770,0.5463517904281616,0.2,0.019725934,0.0003
146,84.99,40448,0.7222999999999999,275,79,-1.030290773510933,0.025210978387622162,0.164453125,-0.06065111607313156,-0.03728754804469645,780,0.46776890754699707,0.2,0.015128138,0.0003
148,88.72,40960,0.7038000000000001,275,80,-0.9267446309328079,0.013192204886581748,0.1376953125,-0.046076297760009766,-0.03654539769049734,790,0.7025759816169739,0.2,0.015355012,0.0003
150,89.32,41472,0.8169999999999998,275,81,-0.7935110412538051,0.014762958881328813,0.1361328125,-0.04294995591044426,-0.03384362745564431,800,0.07870209217071533,0.2,0.014477297,0.0003
152,88.87,41984,0.8028999999999997,275,82,-0.9179712630808353,0.009421036517596803,0.1302734375,-0.0347694531083107,-0.030913098412565888,810,0.06300055980682373,0.2,0.014619757,0.0003
154,91.57,42496,0.7854999999999999,275,83,-1.0063216239213943,0.04180985804414376,0.180859375,-0.054541148245334625,-0.040498368465341626,820,0.475147545337677,0.2,0.0222998,0.0003
156,92.33,43008,0.7537999999999998,275,84,-0.9103164210915565,0.020452705456409603,0.1271484375,-0.03754869103431702,-0.03379858273547143,830,0.49159401655197144,0.2,0.0137322685,0.0003
158,90.92,43520,0.8590999999999999,275,85,-1.0472863458096981,0.0198050643899478,0.172265625,-0.05845874175429344,-0.03874854383757338,840,0.4031408429145813,0.2,0.018541383,0.0003
160,90.34,44032,0.9090999999999998,275,86,-0.8991027101874352,0.010898707210435532,0.1583984375,-0.03642533719539642,-0.03818510207347572,850,0.5352012515068054,0.2,0.017354753,0.0003
162,87.12,44544,1.0064999999999997,274,87,-0.9580524250864982,0.024959179968573154,0.140625,-0.03644118085503578,-0.03906646172981709,860,0.39903581142425537,0.2,0.016945919,0.0003
163,86.45,45056,1.0456999999999999,274,88,-0.8044101320207119,0.04468414450529963,0.1365234375,-0.041926704347133636,-0.02998659034492448,870,0.5479332804679871,0.2,0.017541546,0.0003
165,87.03,45568,1.0517999999999998,275,89,-0.7021462231874466,0.022038746596081182,0.1216796875,-0.04294300451874733,-0.033131404605228454,880,0.6562418937683105,0.2,0.014212513,0.0003
167,85.52,46080,1.1241999999999999,275,90,-0.9514675952494145,0.03897502232575789,0.159375,-0.030636362731456757,-0.0339185586781241,890,0.666527271270752,0.2,0.019058898,0.0003
169,85.92,46592,1.0182999999999998,274,91,-0.7036773700267076,0.03160514499759302,0.099609375,-0.048298049718141556,-0.024919182411395013,900,0.453102707862854,0.2,0.010938132,0.0003
171,84.25,47104,1.0552999999999997,274,92,-0.7928181327879429,0.045825074671301994,0.1296875,-0.031004272401332855,-0.02807315798709169,910,0.6224711537361145,0.2,0.015164073,0.0003
173,85.65,47616,1.0140999999999998,274,93,-0.8099545501172543,0.023607472737785427,0.1236328125,-0.050952475517988205,-0.03179726148955524,920,0.5733799934387207,0.2,0.013055205,0.0003
175,84.4,48128,1.0633999999999997,274,94,-0.8993031173944473,0.03249470138689503,0.1578125,-0.05050824582576752,-0.037201454886235295,930,0.5751956701278687,0.2,0.021117289,0.0003
177,81.17,48640,1.0196999999999996,274,95,-0.8191510610282421,0.021526482986519112,0.1830078125,-0.06266157329082489,-0.04263649163767695,940,0.7742512226104736,0.2,0.048080996,0.0003
178,80.0,49152,0.9495999999999998,274,96,-0.7810034647583961,0.02942287937621586,0.1580078125,-0.04254411906003952,-0.030151392333209515,950,0.4199565052986145,0.2,0.015113793,0.0003
180,78.4,49664,0.9581999999999996,274,97,-0.9767475232481957,0.0352719320973847,0.164453125,-0.03549209609627724,-0.03905318157048896,960,0.6948047876358032,0.2,0.02093913,0.0003
182,78.23,50176,0.8479999999999999,274,98,-0.6961177848279476,0.0325464922352694,0.1068359375,-0.028881151229143143,-0.030162113875849172,970,0.5053163170814514,0.2,0.012495053,0.0003
184,80.92,50688,0.8064999999999997,274,99,-0.9120352201163768,0.038906845124438406,0.141015625,-0.0514913946390152,-0.03238993538543582,980,0.5565075278282166,0.2,0.015232703,0.0003
186,79.33,51200,0.7538999999999996,274,100,-1.097797291725874,0.04274285831488669,0.171875,-0.04050305485725403,-0.03793140416964889,990,0.6474389433860779,0.2,0.021474283,0.0003
188,78.35,51712,0.7054999999999997,274,101,-0.8783722504973411,0.03579543115338311,0.1865234375,-0.05780060961842537,-0.04352762105409056,1000,0.6248724460601807,0.2,0.02232429,0.0003
190,80.32,52224,0.6377999999999998,274,102,-0.9629070855677128,0.025443531118799,0.2150390625,-0.08134225755929947,-0.04414464358706027,1010,0.7762003540992737,0.2,0.028474145,0.0003
192,81.96,52736,0.6706999999999997,274,103,-1.1380258552730083,0.02531293813372031,0.146484375,-0.05338253080844879,-0.034266562142875046,1020,0.835120677947998,0.2,0.021155328,0.0003
194,80.93,53248,0.5644,274,104,-0.7878737062215805,0.025058416672982274,0.121484375,-0.04515601322054863,-0.03048574011772871,1030,0.6475620269775391,0.2,0.013828111,0.0003
196,81.24,53760,0.6016999999999999,274,105,-0.861095741391182,0.03836636228952557,0.13203125,-0.03343644365668297,-0.03658577299211174,1040,0.7459306716918945,0.2,0.01359449,0.0003
198,82.87,54272,0.6395,274,106,-0.7699271842837334,0.027302523818798365,0.1357421875,-0.0523366704583168,-0.03321305550634861,1050,0.1955578327178955,0.2,0.018004112,0.0003
199,79.9,54784,0.7637999999999997,273,107,-0.7653439201414585,0.023938845773227514,0.104296875,-0.05036306008696556,-0.02947112445253879,1060,0.2550615072250366,0.2,0.01216144,0.0003
201,81.01,55296,0.6865999999999999,273,108,-0.8323894433677197,0.01785665896604769,0.1603515625,-0.06434231251478195,-0.04232970566954464,1070,0.6740416288375854,0.2,0.021801395,0.0003
203,82.05,55808,0.6747999999999997,273,109,-0.7796223521232605,0.04261411302722991,0.13828125,-0.036725662648677826,-0.029572364944033324,1080,0.654154896736145,0.2,0.023903646,0.0003
205,81.41,56320,0.7554999999999997,274,110,-0.9665298417210579,0.045628729846794155,0.1765625,-0.0775652527809143,-0.04440789078362286,1090,0.48849034309387207,0.2,0.023220927,0.0003
207,83.05,56832,0.6861999999999998,273,111,-0.8060533128678798,0.01482120951404795,0.146484375,-0.04578464478254318,-0.029848634754307567,1100,0.4850153923034668,0.2,0.022358468,0.0003
209,81.84,57344,0.7740999999999997,273,112,-0.9614431351423264,0.0428322413819842,0.1638671875,-0.035764291882514954,-0.02712894862052053,1110,0.4521098732948303,0.2,0.01742151,0.0003
211,79.87,57856,0.9104999999999996,274,113,-1.1728529416024684,0.027530471608042718,0.2384765625,-0.0639067143201828,-0.04966337219811976,1120,0.5297176241874695,0.2,0.026039716,0.0003
213,76.05,58368,1.0362999999999998,274,114,-0.762631656229496,0.015260405227309093,0.13203125,-0.033727530390024185,-0.03464914412470534,1130,0.7867478728294373,0.2,0.016853414,0.0003
214,77.59,58880,0.9543999999999998,274,115,-0.7829556882381439,0.01598776108585298,0.14296875,-0.0600135438144207,-0.03591680678073317,1140,0.11890918016433716,0.2,0.014327702,0.0003
216,78.91,59392,0.9641999999999998,273,116,-0.8961477607488633,0.05738254215102643,0.1771484375,-0.0419670045375824,-0.03793046935461462,1150,0.5333410501480103,0.2,0.020111669,0.0003
218,75.9,59904,1.0888999999999995,274,117,-0.7256661832332612,0.014893761271378026,0.146875,-0.043601568788290024,-0.038898011448327455,1160,0.8015554547309875,0.2,0.020813853,0.0003
1290,76.54,60416,0.9997999999999998,46,118,-0.705001437664032,0.021249494922813028,0.1578125,-0.07083102315664291,-0.038624216127209364,1170,0.8108246922492981,0.2,0.015571909,0.0003
