#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
-2.63,132,203.082203
1.88,103,203.865006
1.43,156,204.291869
1.88,51,204.428687
1.88,123,204.764078
-2.32,66,204.935001
1.88,36,205.0207
-1.28,137,205.823128
1.88,51,205.957549
1.88,39,206.068177
1.88,27,206.156305
-3.08,103,206.505156
-2.25,136,206.994342
1.88,55,207.205663
1.88,46,207.833119
1.88,47,207.944646
1.88,50,208.070967
-1.06,143,208.421653
1.88,120,208.723814
1.43,100,208.97347
1.88,26,209.597785
1.33,145,210.004719
1.88,58,210.154175
1.88,39,210.261378
1.88,51,210.394097
1.03,151,210.787529
1.88,23,210.848737
1.88,60,211.472326
1.88,46,211.580889
1.88,50,211.709011
-1.21,138,212.092047
1.88,33,212.183747
1.88,15,212.226325
1.88,56,212.381061
1.88,44,212.517324
1.88,30,212.610932
1.44,144,213.679996
-1.02,136,214.018525
1.88,39,214.119079
1.88,71,214.303904
-1.59,49,214.424564
-2.89,63,214.57345
1.88,96,215.336525
1.05,122,215.677684
-2.33,108,215.972453
1.88,27,216.043997
1.88,55,216.182733
1.21,153,216.581069
1.88,121,217.304683
1.09,152,217.661317
1.88,32,217.740647
1.88,26,217.806449
1.88,31,217.886226
1.66,126,218.209092
1.88,41,218.31225
1.88,82,219.031886
-1.69,89,219.351313
1.88,33,219.490331
-1.47,139,219.924489
1.88,27,219.9883
-1.66,145,220.347244
1.88,32,220.886946
-1.21,138,221.274963
1.88,26,221.347911
1.88,32,221.431064
1.06,141,221.808215
1.13,154,222.230789
1.88,43,222.781636
1.88,53,222.907479
1.6,143,223.240768
1.88,75,223.413539
1.88,36,223.497354
1.88,39,223.593872
1.88,43,223.711378
1.88,55,223.86087
1.88,79,224.536226
1.88,33,224.621571
1.88,26,224.694793
1.88,22,224.753798
1.55,144,225.142222
1.88,47,225.300534
1.73,131,225.717395
1.68,138,226.595819
-3.54,120,226.919908
-1.07,135,227.310481
1.88,46,227.432841
-2.49,77,227.64413
1.88,40,227.749387
1.88,31,228.326539
1.88,39,228.423332
1.88,47,228.535457
1.7,134,228.858712
1.88,35,228.942799
1.88,51,229.075514
-1.3,133,229.524994
-1.4,138,230.394779
1.88,35,230.484582
1.88,23,230.54412
1.88,71,230.729426
1.31,138,231.077157
1.88,35,231.164325
1.88,74,231.364338
1.1,108,232.164936
-2.66,98,232.455816
-2.4,141,232.821614
-2.08,113,1303.021819
1.38,136,1304.51638
1.88,36,1304.694052
1.88,29,1304.831674
1.88,35,1304.995927
-1.49,141,1305.59595
1.88,46,1305.797949
1.88,22,1305.911206
1.88,47,1306.165736
1.88,31,1306.324299
1.33,144,1307.952407
1.88,39,1308.167352
1.88,59,1308.460905
-2.36,124,1309.12425
-2.83,99,1309.557611
1.88,36,1309.719392
-2.48,74,1310.057437
1.59,83,1311.283678
-1.03,145,1312.024334
1.88,38,1312.201795
-1.31,128,1312.849993
-1.21,136,1313.464782
1.88,51,1314.646547
1.88,31,1314.829323
-1.47,119,1315.425672
-1.47,143,1316.13607
1.88,26,1316.269647
-2.31,109,1316.818549
1.88,35,1316.979212
1.88,68,1318.007568
-2.27,101,1318.47938
-2.59,80,1318.86794
-2.25,117,1319.449586
1.88,39,1319.634639
1.88,24,1319.745622
-1.95,106,1321.225291
1.88,44,1321.450514
1.69,150,1322.106182
1.88,43,1322.320603
1.88,23,1322.438251
1.88,64,1322.743708
-2.69,130,1323.358615
1.09,111,1324.698492
1.54,145,1325.33092
1.09,148,1326.000693
1.88,49,1326.228715
1.88,27,1326.357995
1.88,49,1326.580302
-2.1,145,1328.317098
1.88,55,1328.58135
-1.63,129,1329.231339
1.68,156,1329.918636
1.88,43,1330.127303
1.88,26,1331.106881
-1.31,154,1331.844919
1.88,15,1331.916524
1.88,44,1332.120982
1.88,15,1332.19496
1.88,84,1332.590097
1.88,31,1332.74752
-1.13,91,1333.151847
1.32,145,1334.833957
1.88,23,1334.937104
-1.96,119,1335.500675
1.88,19,1335.593463
1.88,28,1335.730304
1.88,36,1335.902514
1.88,19,1335.99417
1.35,120,1336.596315
1.88,79,1337.707515
-2.23,90,1338.138183
-1.35,111,1338.652148
-2.17,104,1339.223215
-2.77,97,1339.693857
1.88,27,1339.827908
1.03,135,1341.443553
1.75,156,1342.178065
1.88,23,1342.292273
1.88,92,1342.73846
1.64,128,1343.365442
1.68,51,1344.368764
1.88,41,1344.540881
1.88,68,1344.824905
1.88,18,1344.90323
1.71,131,1345.473647
1.88,28,1345.603883
1.88,43,1345.807151
1.88,74,1346.152406
1.88,19,1346.240731
-2.58,103,1347.699644
1.88,67,1348.081286
1.88,52,1348.332534
1.88,51,1348.55362
1.88,27,1348.66868
1.88,39,1348.833544
-1.28,139,1349.52095
1.12,156,1351.050092
1.41,123,1351.64473
-2.7,124,1352.208276
1.88,53,1352.435044
1.88,26,1352.539477
1.88,19,1352.616784
1.65,155,1354.281893
1.43,150,1355.097594
1.22,154,1355.826726
1.88,39,1355.998172
1.88,22,1356.097754
-1.06,147,1357.551342
1.88,27,1357.681529
1.88,28,1357.821297
-1.3,148,1358.53209
-3.72,89,1359.017055
1.56,153,1359.797739
-1.88,74,1361.125476
-2.96,117,1361.783669
1.88,69,1362.139198
-2.19,144,1362.853697
1.88,59,1363.13736
1.88,23,1363.246842
1.88,51,1363.546552
1.88,35,1364.54552
1.88,57,1364.821062
-1.88,148,1365.560497
-3.39,105,1366.106159
1.26,164,1367.100362
1.88,29,1368.324011
1.88,81,1368.718182
1.88,42,1368.937421
1.65,166,1369.875615
1.88,26,1370.025733
-1.58,108,1370.615428
1.88,23,1370.741564
1.88,106,1372.225495
-2.93,98,1372.713804
1.88,23,1372.825208
1.19,154,1373.627299
1.58,152,1374.622065
1.88,44,1375.807581
1.88,20,1375.912523
1.88,47,1376.162302
-2.81,103,1376.70765
1.29,151,1377.497976
-2.04,136,1378.154572
1.88,92,1379.572792
1.88,57,1379.879415
-1.76,145,1380.700624
-1.4,102,1381.409618
1.88,19,1381.537313
1.88,18,1381.652563
-2.78,84,1382.127668
1.88,31,1382.285245
1.88,49,1383.384275
1.88,66,1383.729759
1.88,36,1383.938659
-3.15,119,1384.6139
1.88,74,1385.045859
-2.84,118,1385.70036
1.88,24,1385.834754
1.88,26,1385.973501
-1.78,143,1387.656069
1.58,164,1388.745736
-1.17,145,1389.630211
1.88,76,1390.963125
1.42,140,1391.71667
0.0,156,1392.552487
1.17,149,1393.412128
1.67,140,1395.286039
1.88,34,1395.476757
1.88,75,1395.851183
1.38,147,1396.654082
1.59,150,1397.509382
-1.33,115,1399.123602
1.88,32,1399.306439
1.88,27,1399.453143
1.8,162,1400.295686
1.88,43,1400.527759
1.88,19,1400.626626
1.2,158,1402.686321
1.72,152,1403.539533
1.88,43,1403.767193
1.88,31,1403.926521
1.06,121,1404.556643
1.88,18,1404.651832
1.88,31,1404.836086
1.88,20,1404.947266
1.88,35,1405.166295
-3.29,99,1406.699467
1.88,39,1406.949913
1.88,71,1407.348776
1.88,40,1407.591993
-2.29,78,1408.138935
1.57,151,1409.09398
1.88,99,1410.602583
1.88,23,1410.719862
1.88,25,1410.860003
-1.37,130,1411.595854
-2.34,66,1411.958277
-1.14,141,1412.680045
1.88,27,1412.81843
