#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
-6.73,52,120.78107
-2.0,7,120.801084
-6.79,45,120.929955
-2.3,16,120.976626
-6.74,48,121.572533
-6.58,49,121.700252
-6.49,57,121.845539
-6.43,55,121.978565
-1.93,11,122.008514
-6.85,45,122.138261
-2.3,14,122.177441
-6.59,49,122.300266
-6.56,50,122.423899
-6.01,59,122.568732
-6.65,51,122.695873
-6.65,50,122.828902
-6.02,59,123.534285
-2.12,12,123.577678
1.58,17,123.632104
-6.55,49,123.800093
-1.96,9,123.835726
-1.9,6,123.856179
-6.73,48,124.011621
-5.52,106,124.287421
-6.77,52,124.459815
-2.03,8,124.48614
-1.88,8,124.514018
-1.93,11,124.545727
-2.17,11,124.584235
-1.96,13,124.619182
-2.26,11,124.648539
-1.96,13,124.680799
-6.45,49,124.810827
1.41,29,124.885197
-6.67,49,125.460629
-6.27,52,125.592355
-6.23,51,125.724983
-1.93,6,125.742021
-6.35,49,125.880505
-6.39,46,126.015913
-6.25,50,126.154665
-1.97,10,126.183422
-6.81,46,126.313828
-2.31,11,126.350082
-1.92,6,126.368895
-6.83,53,126.536384
-1.93,10,126.567032
-6.65,54,126.761521
-1.93,7,126.784951
-6.81,46,127.387447
-6.71,46,127.528987
-6.52,50,127.67157
-1.97,9,127.698337
-6.23,51,127.829507
-6.39,60,127.973996
-2.31,10,128.002747
-1.92,9,128.024054
-6.73,45,128.131498
-2.59,15,128.173506
-2.54,91,128.381346
-6.65,49,128.518451
-6.73,46,129.127543
-2.25,15,129.171698
-2.17,11,129.207998
-6.48,54,129.37141
-6.57,55,129.549371
-5.37,123,129.942572
-6.44,51,130.106628
-6.79,45,130.262999
-1.97,10,130.291616
-6.21,57,130.437907
-6.25,55,130.578769
-2.3,15,130.615874
-6.71,50,131.169767
-6.43,52,131.293555
-2.02,15,131.332314
-2.11,8,131.353054
-6.36,111,131.630097
-2.03,9,131.658999
-5.99,55,131.802679
-2.25,14,131.850926
-1.97,5,131.867516
-5.29,71,132.078612
-6.79,45,132.219097
-2.11,11,132.254848
1.46,19,132.312754
